Working-with-whole-numbers ;Exponents;Geometry-of-straight-lines;Construction-of-geometric-figures;Geometry-of-2D-shapes;Fractions;The-decimal-notation-for-fractions;Relationships-between-variables;Perimeter-and-area-of-2D-shapes;Surface-area-and-volume-of-3D-objects;Numeric-and-geometric-patterns;Functions-and-relationships-1;Algebraic-expressions-1;Algebraic-equations-1;Graphs;Transformation-geometry;Geometry-of-3D-objects;Integers;Numeric-patterns;Functions-and-relationships-2;Algebraic-expressions-2;Algebraic-equations-2;Collect-organise-and-summarise-data;Represent-data;Interpret-analyse-and-report-on-data;Probability
build numbers up and break numbers down;Quick squares and cubes;Line segments, lines and rays;Parts, Symbols and Labels of angles;Triangles, quadrilaterals, circles and others;Measuring accurately with parts of a unit;Other symbols for tenths and hundredths;Constant and variable quantities;Measuring perimeter of polygons;Surface area of cubes and rectangular prisms;Number patterns in sequences;From counting to calculating;Describing and doing computations;Solving by inspection;A graph can tell a story;Lines of symmetry;Classifying 3D objects;he need for numbers called integers;Patterns in two directions;Relationships between variables;Interpret rules to calculate values of a variable;Describing problem situations;Collecting data;Bar graphs and double bar graphs;Interpreting and reporting on data;Possible and actual outcomes, and frequencies
multiples;The exponential notation;Parallel and perpendicular lines;The degree: a unit for measuring angles;equilateral, isosceles, scalene and right-angled triangles;describe the same length in different ways;Percentages and decimal fractions;Different ways to describe relationships;Perimeter formulae;using nets of rectangular prisms and cubes;what comes next?;Representing situations mathematically;Relationships represented in formulae;Solving by the trial and improvement method;Investigating rate of change in situations;Identifying lines of symmetry;What is a polyhedron?;rdering and comparing integers;Making patterns from rules;Formulae for tables;Subtract positive and negative quantities;Analysing and interpreting equations;Different types of data;Histograms;Identifying bias and misleading data;Relative frequencies
doubling and halving;Repeated multiplication with the same number;;Using the protractor to measure angles;Finding unknown sides in triangles;different fractional parts in different colours;measuring on a number line;;Area and square units;working out surface areas;relationships between dependent and independent variables;Input and output numbers;Making sense of variables and constants in formulae;Describing problem situations with equations;Interpreting graphs;Original figures and their images;Identifying and describing 3d objects;Finding numbers that make statements true;Making patterns from expressions;Integers in the rules for relationships;Expressions with additive inverses;Solving Equations by Inspection;Organising categorical data;Pie charts;;More trials and relative frequencies
using multiplication to do division;powers of different numbers;;Using a protractor to construct angles;Different types of quadrilaterals;Combining fractions;decimal jumps;;Conversion of units;Volume of rectangular prisms and cubes;Geometric patterns;from formulae to tables;;;Revisiting change and rate of change;Translating figures;Prisms and pyramids;Adding and subtracting integers;;;;Solving Equations by Trial and Improvement;Introducing stem-and-leaf displays;;;
Ordering and comparing whole numbers;Squares and cubes;;Parallel and perpendicular lines;finding unknown sides in quadrilaterals;Tenths and hundredths (percentages);place value;;Area of squares and rectangles;formula to calculate volume;constant quantities and variable quantities;from patterns to formulae;;;Drawing graphs;Properties of translation;Describing, sorting and comparing 3D objects;Properties of operations;;;;Identifying variables and constants;Dot plots and stem-and-leaf displays;;;
rounding to 5s, 10s, 100s and 1 000s;The square root and the cube root;;Using the compass;Circles;Thousandths, hundredths and tenths;Ordering and comparing decimal fractions;;Doubling a side and its effect on area;Converting between cubic units;patterns with matches;;;;;Reflecting figures;Nets of 3D objects;;;;;Substituting numbers into expressions;Grouping data into intervals;;;
Factors, prime numbers and common multiples;determining what number was squared;;Constructing circles with a compass;Similar and congruent shapes;Fraction of a fraction;Rounding off;;Area of triangles;Volume and capacity;alphabetic patterns;;;;;Properties of reflection;Identifying the nets of a cube;;;;;;Working with grouped data;;;
different ways to produce the same number;determining what number was cubed;;familiar figures in the seven-circle pattern;;Multiplying with fractions;Addition and subtraction with decimal fractions;;;;squares and cubes;;;;;Rotating figures;Nets of other 3d objects;;;;;;Summarising data;;;
highest common factor and lowest common multiple ;Comparing numbers in exponential form: bigger, smaller or equal? ;;Parallel and perpendicular lines with circles;;Ordering and comparing fractions;Multiplication of decimal fractions with whole numbers and other decimals;;;;;;;;;Properties of rotation;How to draw a net of a prism ;;;;;;Determining the mode, median, mean and range;;;
Properties of operations;arranging numbers in ascending and descending order;;;;;Division and decimal fractions with whole numbers and other decimals;;;;;;;;;Enlarging and reducing figures;Practise drawing nets and constructing 3d models;;;;;;;;;
order of operations and the associative property;Calculations: The order of operations ;;;;;;;;;;;;;;The scale factor;;;;;;;;;;
the commutative property of addition and multiplication;Writing numerical expressions in words;;;;;;;;;;;;;;Similar figures;;;;;;;;;;
more conventions and the distributive property;Calculations with exponents;;;;;;;;;;;;;;;;;;;;;;;;
Basic operations: Methods of addition;calculations involving square roots and cube roots;;;;;;;;;;;;;;;;;;;;;;;;
Basic operations: methods of subtraction;;;;;;;;;;;;;;;;;;;;;;;;;
Basic operations: a method of multiplication;;;;;;;;;;;;;;;;;;;;;;;;;
Basic operations: a process called long division;;;;;;;;;;;;;;;;;;;;;;;;;
rate and ratio;;;;;;;;;;;;;;;;;;;;;;;;;
financial mathematics;;;;;;;;;;;;;;;;;;;;;;;;;
