Whole-numbers;Integers;Fractions;The-decimal-notation-for-fractions;Exponents;Patterns;Functions-and-relationships;Algebraic-expressions-1;Equations-1;Construction-of-geometric-figures;Geometry-of-2D-shapes;Geometry-of-straight-lines;Pythagoras-Theorem;Area-and-perimeter-of-2D-shapes;Functions;Algebraic-expressions-2;Equations-2;Graphs;Surface-area-volume-and-capacity-of-3D-objects;Transformation-geometry;Geometry-of-3D-objects;Collect-organise-and-summarise-data;Representing-data;Interpret-analyse-and-report-on-data;Probability
Properties of numbers;why people decided to have negative numbers;Equivalent fractions;Equivalent forms;the exponential form of a number;Geometric patterns;Find output numbers for given input numbers;Algebraic language: words, diagrams and expressions;Solving equations by inspection;Constructing perpendicular lines;Classification of triangles;Angle relationships;Checking for right-angled triangles;Area and perimeter of squares and rectangles;From formulae to words, tables and graphs;manipulating expressions;solution by inspection;Global graphs;surface area of prisms;Points on a coordinate system;Classifying 3D objects;Collecting data;Bar graphs and double bar graphs;Which graph is best?;Simple events
different types of numbers;properties of integers;converting between mixed numbers and fractions;common fractions, decimal fractions and percentages;order of operations;Different kinds of patterns in sequences;two different sets of input numbers;Monomial, Binomial and Trinomial;Solving equations using additive and multiplicative inverses;lines that form when circles intersect;Finding unknown lengths and angles in triangles;transversal line;Finding missing sides;Area and perimeter of composite figures;Tables and graphs;Factors of expressions of the form ab + ac;solving equations through inverse operations;discrete and continuous variables;calculating the surface area of cylinders;Reflection (flip);Nets and models of prisms and pyramids;Avoiding bias when selecting a sample;drawing bar graphs and double bar graphs;The effects of summary statistics on how data is reported;Compound events
The natural numbers;Adding and subtracting with integers;Adding and subtracting fractions;Calculations with decimals;laws of exponents;do the same thing repeatedly;Different ways to represent the same relationship;Variables, coefficients and constants;constructing equations;using circles to construct perpendicular lines;properties of quadrilaterals;angles formed by parallel lines;pythagorean triples;Area and perimeter of circles;;the greatest common factor;Solving by factorisation (Part 1);showing increase and decrease on graphs;formulae for volume of prisms;reflecting geometric figures;Platonic solids;Organising data;Histograms;using different summary statistics;tossing a coin and giving birth
The whole numbers;calculations with integers;adding and subtracting fractions;Decimals in algebraic expressions and equations;Integer exponents;Formulae for sequences;verbal and algebraic formulae;equivalent algebraic expressions;solving equations;using circles to bisect angles;unknown sides and angles in quadrilaterals;Corresponding angles;;Converting between units;;Factors of expressions of the form x^2 + (b + c)x + bc;developing a strategy: result of multiplying is zero;Change at different rates;volume of cylinders;Translation (slide);only five platonic solids?;stem-and-leaf display;representing data in histograms;Misleading graphs;
The integers;Multiplying and dividing with integers;Multiplying and dividing fractions;;negative exponents;make two formulae for the same sequence;;conventions for writing algebraic expressions;number patterns and equations;Constructing special angles without a protractor;Congruent triangles;Alternate angles;;Area of other quadrilaterals;;Factors of expressions of the form a^2 – b^2;taking out the highest common factor;Draw graphs from tables of ordered pairs;Capacity;translation of geometric figures on a coordinate system;properties of the platonic solids;working with grouped data;Pie charts;Changing the scale of the axis;
The rational numbers;the distributive property;squares, cubes, square roots and cube roots of fractions;;Solving simple exponential equations;;;Properties of operations;Equation and situations;constructing a 45° angle without a protractor;definition and notation of congruent triangles;Co-interior angles;;parallelograms;;Simplification of algebraic fractions;Solving by factorisation (Part 2);graphs of functions with constant differences;Doubling dimensions and the effect on volume;Enlargement (expansion) and reduction (shrinking);Euler’s formula;Summarising data: mean, mode, median;drawing pie charts;analysing graphs;
Irrational numbers;division with integers;Equivalent forms: fractions, decimals and percentage forms;;Scientific notation;;;distributive,  commutative property,  associative property;Solving equations by using the laws of exponents;constructing 60° and 30° angles without a protractor;minimum conditions for congruent triangles;Identify and name angles;;rhombi;;dividing by zero is undefined;solving by factorising trinomials;Gradient;doubling the dimensions of a prism;;euler’s formula and other polyhedra;organise, summarise and compare some data;Broken-line graphs;Analysing extreme values and outliers;
estimating, rounding off and compensating with whole numbers;mixed calculations with integers;;;writing very small and very large numbers;;;rearranging terms, and combining like terms;solving equations with a variable in the base;constructing the multiples of special angles;proving that triangles are congruent;Solving problems;;kites;;;solving by factorising the difference between two squares;Finding the formula for a graph: tables and formulae ;doubling the dimensions of a cylinder;;properties of cylinders;extreme values and outliers;Scatter plots;find outliers;
adding in columns;Powers, roots and word problems;;;calculations using scientific notation;;;Multiplication of algebraic expressions;;Angle bisectors in triangles;Similar triangles;;;trapeziums;;;Solving by factorisation (Part 3);determine the equation of a straight line;;;nets of cylinders;;understanding and constructing scatter plots;;
