Whole-numbers;Integers;Exponents;Numeric-and-geometric-patterns;Functions-and-relationships-1;Algebraic-expressions-1;Algebraic-equations-1;Algebraic-expressions-2;Algebraic-equations-2;Construction-of-geometric-figures;Geometry-of-2D-shapes;Geometry-of-straight-lines;Common-fractions;Fractions-in-decimal-notation;The-theorem-of-Pythagoras;Perimeter-and-area-of-2D-shapes;Surface-area-and-volume-of-3D-objects;Collect-organise-and-summarise-data;Represent-data;Interpret-analyse-and-report-on-data;Functions-and-relationships-2;Algebraic-equations;Graphs;Transformation-geometry;Geometry-of-3D-objects;Probability
Properties of whole numbers;beyond 0? why people decided to have negative numbers;exponential notation;The term-term relationship in a sequence;Constant and variable quantities;Algebraic language;Setting up equations;Expanding algebraic expressions;Thinking forwards and backwards;Bisecting lines;Types of triangles;Angles on a straight line;Equivalent fractions;Equivalent forms;The lengths of sides of right-angled triangles;Perimeter of squares and rectangles;From 2D to 3D measurements;Collecting data;Bar graphs and double bar graphs;Critically analysing how data is collected;Calculating output values using  formulae and tables;setting up equations to describe problem situations;interpreting graphs;Transformations and coordinate systems;2 types of polyhedra: Prisms and Pyramids;different fractions of a whole number
the commutative property of addition and multiplication;Adding and subtracting with integers;squares;going from one term to the next;looking for connections between quantities;words, diagrams and symbols;looking for numbers to make statements true;product expressions and sum expressions;Solving equations using the additive and multiplicative inverses;bisecting a line segment with a compass and ruler;naming triangles according to their sides;sum of angles on a straight line;using fraction notation;hundredths, percentages and decimals;Working with the theorem of Pythagoras;calculating perimeters using formulae;Surface area of 3D objects;sources of data collection;representing data in bar graphs and double bar graphs;data sources and collection methods;Different forms of representation:  flow diagrams, tables, words and formulae;solving equations by inspection;how graphs show increases and decreases;what are transformations?;pentagonal prism;relative frequency
the associative property of addition and multiplication;adding can make less and subtraction can make more;cubes;adding or subtracting the same number;completing some flow diagrams;looking different but yet the same;Solving equations by inspection;Simplifying algebraic expressions;finding the unknown;Constructing a perpendicular line from a given point;naming triangles according to their angles;finding unknown angles on straight lines;Adding and subtracting fractions;Ordering and comparing decimal fractions;working with the formula;Area of polygons;deducing formulae for surface areas;populations and samples;Histograms;Critically analysing how data is represented;looking at different formulae at the same time;solving equations: additive and multiplicative inverses;Dependent and independent variables on graphs;coordinate systems;hexagonal-based pyramid;range
more conventions and the distributive property;comparing integers and solving problems;square and cube roots;multiplying or dividing with the same number;Different ways to describe relationships;Add and subtract like terms;;expand, rearrange and then combine like terms;Solving equations involving powers;Constructinga perpendicular line at a given point on a line ;working out unknown angles and sides;Vertically opposite angles;Tenths, hundredths and thousandths;bigger, smaller or the same?;Finding the missing sides in right-angled triangles;area of squares and rectangles;surface area calculations;random samples;representing data in histograms;manipulation in data presentation;;exponential equations;local maximum and minimum values;Translation on the coordinate system;quadrilateral-based pyramids;how often can we expect something to happen?
Calculations with whole numbers;multiplication with integers;representing integers in exponential form;patterns with neither constant difference nor constant ration;Algebraic symbols for variables and relationships;rearrange terms and then combine like terms;;Simplifying quotient expressions;;Bisecting angles;Types of quadrilaterals and their properties;finding unknown angles;Fraction of a fraction;Rounding off decimal fractions;calculating the length of the hypotenuse;area of triangles;deriving formulae to calculate volume of 3D objects;questionnaires;Pie charts;Critically analysing summary statistics;;Generating tables of ordered pairs;discrete or “continuous”;translating points on the coordinate system;triangular pyramid;Probability
estimating, approximating and rounding;division with integers;Laws of exponents;The position-term relationship in a sequence;describing procedures in different ways;Commutative property and Associative property;;from quotient expressions to sum expressions;;measuring and classifying angles;the properties of different types of quadrilaterals;equations using vertically opposite angles;squares and cubes and roots of fractions;Calculations with decimal fractions;calculating the length of any side in a right-angled triangle;area of composite shapes;Relationship between surface area and volume;Organising data;estimating the size of slices in a pie chart;how summary statistics can be misleading;;from a formula to a table of values;drawing global graphs;translating triangles on the coordinate system;square pyramid;
rounding off and compensating;the associative properties of operations with integers;product of powers;using position to make predictions;Formulae with symbols;convenient replacements;;Squares, cubes and roots of expression;;bisecting angles without a protractor;finding unknown angles and sides of quadrilaterals ;Lines intersected by a transversal;Division by a fraction;;right-angled or not?;Perimeter of circles;Converting between cubic units;tally marks, tables and stem-and-leaf displays;Broken-line graphs;manipulation in summary reports on data;;;graphs of ordered pairs;Reflection on the coordinate system;hexagonal pyramid;
adding numbers in parts written in columns;mixed calculations with integers;raising a power to a power;triangular numbers;writing symbolic formulae;;;simplifying squares and cubes;;Constructing special angles without a protractor;Congruency of 2D shapes;pairs of angles formed by a transversal;;;;parts of a circle;Capacity of 3D objects;grouping data in intervals;plotting data points;;;;;reflecting points in the x-axis or in the y-axis;square-based pyramids;
methods of subtraction;squares and cubes of integers;power of a product;Describing patterns in different ways;;;;square and cube roots of expressions;;constructing angles of 60°, 30° and 120° without a protractor;Similarity of 2D shapes;identifying types of angles;;;;relationship between a circle’s circumference and diameter;difference between capacity and volume;Summarising data: measures of central tendency and dispersion;drawing broken-line graphs;;;;;reflecting triangles in the x-axis or in the y-axis;regular polyhedron;
a method of multiplication;;a quotient of powers;t-shaped numbers;;;;;;constructing angles of 90° and 45° without a protractor;;Parallel lines intersected by a transversal;;;;pi (π) and the formula for the circumference of a circle;displacement and more capacity calculations;the mode and the median;comparing different ways of representing data;;;;;Rotation on the coordinate system;cuboid and cube;
long division;;the power of zero;Constant and variable quantities;;;;;;Constructing triangles;;investigating angle sizes;;;;using the formula for the circumference of a circle;;range and spread of data;;;;;;rotating points and figures about the origin;cylinder;
multiples and factors;;Calculations: mixed operations;looking for connections between quantities;;;;;;Constructing triangles when three sides are given;;identifying angles on parallel lines;;;;Area of circles;;;;;;;;Enlargements and reductions;cone;
prime numbers and composite numbers;;Squares, cubes and roots of rational numbers;completing some flow diagrams;;;;;;Constructing triangles when certain angles and sides are given;;Finding unknown angles on parallel lines;;;;using the formula for the area of a circle;;;;;;;;calculate and use scale factors;sphere;
prime factorisation;;squaring a fraction;Different ways to describe relationships;;;;;;Properties of triangles;;sum of the angles in a quadrilateral;;;;Converting between square units;;;;;;;;effect of enlargements or reductions on perimeter and area;Triangular prism;
common multiples and factors;;finding the square root of a fraction;Algebraic symbols for variables and relationships;;;;;;properties of equilateral triangles;;angle relationships on parallel lines;;;;;;;;;;;;calculating perimeters and areas of enlarged or reduced figures;Nets and models of prisms and pyramids;
rate and ratio;;cubing a fraction;describing procedures in different ways;;;;;;properties of isosceles triangles;;combining properties of triangles and quadrilaterals;;;;;;;;;;;;;nets for different polyhedra;
profit, loss, discount and interest;;Scientific notation of very large numbers ;Formulae with symbols;;;;;;the sum of the angles in a triangle;;;;;;;;;;;;;;;drawing nets and constructing 3d models of pyramids;
;;;writing symbolic formulae;;;;;;Properties of quadrilaterals;;;;;;;;;;;;;;;the platonic solids: tetrahedron, octahedron, hexahedron, dodecahedron,  icosahedron ;
;;;;;;;;;sum of the angles in a quadrilateral;;;;;;;;;;;;;;;;
;;;;;;;;;Constructing quadrilaterals;;;;;;;;;;;;;;;;
;;;;;;;;;constructing parallel lines to draw quadrilaterals;;;;;;;;;;;;;;;;
